web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574929712-1686","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Thomas","Kay, y'know what?","August 26, 2013","I'm not even going to bother justifying or elaborating upon my 1-star review.  I like to think the reasoning behind it is pretty self-evident.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1574929697-1619","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Phoenix Reader","I am so disgusted anyone could think this is ok","November 21, 2019","As a parent of a child with Stage IV neuroblastoma, even thinking this title is so wrong. You are not a parent and seriously, you need help. If cancer could be wished on someone, you need to experience it and the devastating loss of a loved child.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1574929721-1725","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Audie","One Star","June 23, 2015","This is real? hahaha","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1574929719-1715","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Megan Lee","Boycotting Amazon Until This Book Is Removed","July 3, 2014","I am never buying another book from Amazon. Carrying a book with this title has got to be one of the most insensitive, pathetic things I've ever seen. There are many, many things in this life that are worse than Autism. Burying two sons, both babies, for no reason, other than SIDS. Death, is much, much worse than Autism. At least this pathetic author gets to cuddle his children every day. Although, I hope they grow up and realize exactly what he thinks of them. Those poor kids.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1574929699-1628","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","patricia m wimmer-johnson","My son is diagnosed with autism and cancer","June 1, 2014","My son Luke was diagnosed in 2nd grade with ASD, in 8th grade he was diagnosed with Acute Lymphoblastic Leukemia. Guess what ASD never threatened my son's life, with ALL he has had a port to pour poison into his body, he has had lumbar punctures to shoot chemo into his spinal fluid, he has to eat chemo pills everyday for for 3 years and 4 months, he has been hospitalized for running a fever, that is not included all the times he was in the hospital for chemo infusions that lasted for hours, lost his hair, his appetite, lost mobility, lost his ability to read for a month because of cranial radiation. At best you are a fool for the title of this book at worst a self absorbed whiny jerk. My son didn't have cancer until he did, I pray you do not get to join the club of parents who have children with cancer","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1574929717-1707","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Disgusting!","May 23, 2018","I'm speechless. Are you sure this wasn't written by Donald Trump under a pseudonym? Disgusting!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1574929706-1662","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","melissa kraft","wow really?","August 27, 2013","i hope his kids never find this book. cancer is way worst than autism, would you really want your kids to die? what is wrong with this man?","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1574929712-1684","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","R. Gomez","You're dumb!!","June 1, 2014","You're an idiot!! I would have rather of struggled with an autistic child than to watch mine suffer and die from cancer. Amazon, you should seriously consider removing this publication.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1574929710-1679","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Lisa","Disgusting!","December 3, 2015","You don't deserve to be a parent!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1574929706-1653","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Tabatha","Pure crap","November 14, 2018","I hated everything about this ableist piece of work.  Vaccines do not cause autism or cancer!!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wish-Kids-Had-Cancer-Surviving/product-reviews/1606720708/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
