web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574976424-16451","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","haka5HI","I really like should quality","July 27, 2018","I really like the sound quality, the noise-canceling ability and the comfort of the headphones but I could not connect them to my iPhone and computer by myself.  Other seniors with limited technical ability may also find they need assistance.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_129?ie=UTF8&pageNumber=129&reviewerType=all_reviews"
"1574976233-15517","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","CLSmoothie","Love It","September 28, 2019","These headphones are great.  The bluetooth works fantastic, haven't had any issues with it.  I'm usually pairing them with my iPhone XS Max and the AppleTV.  When I'm using them to watch TV the sound is great.

The battery life is outstanding for the amount of time I've used them.

I love the noice cancelling.  It was great on a plane and I can't hear my wife at all when she's talking to me.  Love the nice cancelling.

Only downside I would say is it seems like you need an app to connect these things up to other bluetooth devices and it only allows you to connect to two devices only.

Overall I love them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1574976314-15918","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cameraman","Great Headphones","September 16, 2019","Worked fantastically on a trip from Austin TX to Frankfurt and also on the return trip. 12 hours on the plane and the battery was still about 40%.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_76?ie=UTF8&pageNumber=76&reviewerType=all_reviews"
"1574976375-16216","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","C J Brown","I very happy with them so far","September 3, 2018","So far they are working great. I currently work on a golf course and operate large mowers and they have great sound, great noise cancellation, and very good battery life","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_106?ie=UTF8&pageNumber=106&reviewerType=all_reviews"
"1574976535-16988","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","David Richard Bailey","Never doubt!","December 21, 2018","It’s a BOSE!!!  What else can I say?!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_183?ie=UTF8&pageNumber=183&reviewerType=all_reviews"
"1574976288-15789","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mow Man","Bought 2 pairs for my discerning teens --Terrific","September 2, 2019","I have twin daughters who are very discerning about the quality of their music--both are gifted musicians with ""perfect pitch""... so, they know.  After two weeks of heavy use, their verdict is the headphones are terrific.  I looked at the newest version but saw so many complaints about the new Bose App required to use them that I decided to buy these previous generation.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&pageNumber=63&reviewerType=all_reviews"
"1574976271-15710","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Daniel Luz","Surprisingly uncomfortable","January 1, 2019","Two points that were immediately clear to me and were surprisingly absent from nearly every review I had read before purchasing:
- The headphones exert quite a bit of pressure around the hinge of my jaw. I tried a few different positions, but I just can't get a good fit — there's always some level of discomfort.
- Active noise canceling also puts a significant amount of constant pressure on your ears. I know this is due to the way it works, but I honestly would never expect it to be this strong, considering most people won't even mention it.

All in all, beware when purchasing these headphones, particularly if they're your first experience with ANC. If at all possible, try then out in a store or with a friend, to avoid later figuring out you can't stand wearing them for more than 15 minutes. I'll have to try other models, even if they don't score as highly in the ANC ratings.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&pageNumber=55&reviewerType=all_reviews"
"1574976348-16094","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jamile","Awesome!!","October 8, 2019","Oh my god!! This is the BEST noise-cancelling headphone of the world!!! I am completely shocked and I'm in love with it!!!!!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_93?ie=UTF8&pageNumber=93&reviewerType=all_reviews"
"1574976521-16924","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Iyad","Great headphones and very comfortable","February 15, 2018","Great headphones and very comfortable... Just a bit expensive specially after seeing the new Sony wh-1000-XM2 which is way more refined from the last gen reach 298$.
And this with the Google Assistant button addition only is still 350$.

But otherwise I love the comfort and quality.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_176?ie=UTF8&pageNumber=176&reviewerType=all_reviews"
"1574976440-16527","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","cstove","Best earphones! Very comfortable","March 23, 2018","Best earphones! Very comfortable, great sound and excellent sound blockage. Perfect on planes or just listening to music or movies. Worth the money for the quality! I have now purchased 3 for family members.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B07NXDPLJ9/ref=cm_cr_arp_d_paging_btm_137?ie=UTF8&pageNumber=137&reviewerType=all_reviews"
