web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1575042489-30875","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","james caione","Great cover","April 13, 2017","Great cover  The cover works beautifully as well as looking good this is my second time buying from this company with no problems whatsoever would definitely recommend it","5.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_252?ie=UTF8&pageNumber=252&reviewerType=all_reviews"
"1575042196-29636","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Great ipad case","March 9, 2019","It is a very nice case. I bought is as a present and they loved it!","5.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_128?ie=UTF8&pageNumber=128&reviewerType=all_reviews"
"1575042367-30439","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Yankman","Nice case","September 5, 2015","This is a replacement for the same case that lasted 3 years with everyday use. Fits perfectly.  Built very solid.  Similar item in both Verizon Store and Apple Store were more expensive.  Good purchase! Go for it!","5.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_208?ie=UTF8&pageNumber=208&reviewerType=all_reviews"
"1575042305-30131","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Heidi","Good fit","April 21, 2018","Nice cover. Fits well. Good color.","4.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_178?ie=UTF8&pageNumber=178&reviewerType=all_reviews"
"1575042100-29167","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","dancinglee","Good Buy","December 15, 2018","I’ve used this case for only a couple of weeks now so I can’t comment on the durability, but the case fits tightly and the auto shut off  works well when closing the front lid.  I think it’s a good buy for the price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&pageNumber=81&reviewerType=all_reviews"
"1575042429-30695","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","keith","jet I pad air case","November 5, 2015","This is a good case it holds the I pad air well. I LIKE THE FACT THAT IT IS LIGHT AND SLIM AND IT FOLDS EASY To allow easy use","4.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_234?ie=UTF8&pageNumber=234&reviewerType=all_reviews"
"1575042209-29692","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Three Stars","April 26, 2018","I thought I got the pad pen as showed! A bit disappointing!!","3.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_134?ie=UTF8&pageNumber=134&reviewerType=all_reviews"
"1575042252-29904","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","M. Graham","Inexpensive yet sturdy & works great!","July 16, 2014","Inexpensive yet sturdy & works great! Had it now for about 3 months, it's light enough weight wise, & once the inside cover 'dusting' onto the screen effect  stopped after about 10 days, all has been fine since. So yes, overall I am quite happy with this purchase & can definitely recommend it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_155?ie=UTF8&pageNumber=155&reviewerType=all_reviews"
"1575042478-30847","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Joel","iPad case cover","September 12, 2016","Much narrower than old iPad cover. Easy to install once I remembered to remove the old cover.","5.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_249?ie=UTF8&pageNumber=249&reviewerType=all_reviews"
"1575042521-30971","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","H.um","It was relatively nice quality at the price point but","February 28, 2017","It was relatively nice quality at the price point but, within a month without a dropping one of the corner was breaking becoming useless..sad.","1.0 out of 5 stars","Next page→","https://www.amazon.com/JETech-Apple-Smart-Cover-Sleep/product-reviews/B07HJ5G6DK/ref=cm_cr_arp_d_paging_btm_262?ie=UTF8&pageNumber=262&reviewerType=all_reviews"
