web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574328363-11112","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Noelia Alejandra","in the end this exchange of goods is as unlikely as the great Gandalf coming out of the closet","August 20, 2016","At first, I thought ""Holy lembas, I gotta have this!"" But then I remembered, I don't know what a blue ray is or what it's for. Then I thought ""Maybe I could use the discs as rings!"" But there are 30 discs and I only have 20 measly fingers!! Still, such a precious find has to be in my possession. So somewhere between second breakfast and lunch I took upon figuring out where in my hobbit hole I could find 719.99 ""U.S. dollhairs"", but that proved to be a futile adventure! Obviously U. S. stands for Uruk-hai of Sauron, and we all know they don't own dolls. Forget about finding those hairs in my little old hobbit hole. So, in the end this exchange of goods is as unlikely as the great Gandalf coming out of the closet. Hm.. I wonder what's for dinner..","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1574328365-11125","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","C. Tanner","It is nice to see the glowing 4 and 5 star reviews ...","October 26, 2016","With the impending merger between Time Warner and AT&T it appears WB is attempting to cash in one more time prior to that merger becoming a reality. It is nice to see the glowing 4 and 5 star reviews from what appears to be WB employees, but I highly doubt anyone here is stupid enough to pay $799 or even $499 for what is nothing more than a rehashing of movies already produced, in fancy packaging. For those who are stupid enough to pay $83 apiece [based on the $499 'sale' price] for 6 movies that add no additional footage to what we already have, knock yourselves out. An old adage comes to mind concerning such individuals........""a fool and his money are soon parted"".","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1574328372-11161","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Crypto White Knight","Rabble Rabble!","October 5, 2016","Boooo!  Hissss!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
"1574328368-11136","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","JimK","Yeah...","August 20, 2016","WT actual F. No....just, no.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1574328354-11072","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Emilien Dupont","Careful, check your LOTR bonus discs!!","November 21, 2016","I have bought the french boxset and I have another issue that shows the complete lack of quality check : for the lord f the rings films, all extra discs are interverted : for example the disc with extra of the theatrical version contains the appendix part 1, the appendix part 1 disc contains the costa botes documentary, and so on. This a ultimate shame for a box of that price.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1574328351-11065","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Neil Mc Donnell","An insult to fans","September 28, 2016","I am a hugh LOTR fan, but the pricing on this is shocking.
I think that they have got it very wrong and hope people power may teach them a lesson.
Added to the fact that the Hobbit movies are pretty bad, and nothing like the book even, I'd have thought that turning a one movie book, into three, would have satisfied their greed, but obviously not.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1574328365-11127","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cory Enns","One Star","October 17, 2016","shame on you Warner Bros","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1574328354-11081","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Eren","One Star","August 19, 2016","800$? 😡","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1574328370-11147","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Phillip Coxey","Absolutely","October 14, 2016","Ridiculous.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1574328372-11156","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Maverick1776","Why ?","October 11, 2016","As an owner of the extended edition blu ray trilogy for the hobbit and lord of the rings, I see no point to this collection at all. Especially with a laughable price like that.
Even if it included 3D and 4K versions, maybe $150-200 would be acceptable. But $499 !?!?!?","1.0 out of 5 stars","Next page→","https://www.amazon.com/Middle-earth-Limited-Collectors-Blu-ray-DVD/product-reviews/B01JH3KL0E/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
