web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1575035475-19210","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","KaarinaBeana","Thumbs up","June 25, 2019","This game is addicting ! Some say it’s slow but I think it’s great. When doing a story line of course it’s not going to be fast paced.
The action alone should replace that.
The only reason for 4/5 stars is that nowhere did it say I needed a PSN subscription in order to play online. So that completely sucks. I don’t want another subscription in my life.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews"
"1575035485-19258","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jake Does America","Fixed my marriage","November 22, 2018","Got a divorce because of this game. Totally recommend it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews"
"1575035579-19710","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Consumer","Good game","May 5, 2019","Great graphics.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&reviewerType=all_reviews"
"1575035579-19708","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","2021","Great iteam","January 2, 2019","Arrived quick and was as described","5.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_69?ie=UTF8&pageNumber=69&reviewerType=all_reviews"
"1575035468-19185","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","SAA_Revolver","I loved RDR in 2009 but RDR2 is miles ahead of RDR in ever way. A must buy game.","March 14, 2019","An amazing game! I played RDR and loved it as well. This game has so many added bonuses and extras that the original didn't. People complain about the map being too big, too long to skin animals, cleaning and upgrading weapons/gear/upgrading camp and horses. It's not that difficult to be honest. Yes, it can be a bit overwhelming for the first 4 or 5 hours but playing this game makes time fly by. John Marston was cool in RDR but Arthur Morgan is a legend. I highly recommend this game.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1575035603-19829","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Great game","February 7, 2019","One of the best I've played in years","5.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_81?ie=UTF8&pageNumber=81&reviewerType=all_reviews"
"1575035569-19658","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","DamageControl","Sweet game","February 12, 2019","Lots of content for price","5.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_64?ie=UTF8&pageNumber=64&reviewerType=all_reviews"
"1575035667-20146","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Luis","Fun game","January 21, 2019","Great game , got it for my son he really enjoyed it","4.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_113?ie=UTF8&pageNumber=113&reviewerType=all_reviews"
"1575035671-20169","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nick j","Very disappointed","May 11, 2019","Received a blank disc instead of the game","1.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_115?ie=UTF8&pageNumber=115&reviewerType=all_reviews"
"1575035657-20100","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sykira Velarin","A+++","June 14, 2019","Fast delivery and great quality! Worth every penny!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Red-Dead-Redemption-2-PlayStation-4/product-reviews/B01M5DZ525/ref=cm_cr_arp_d_paging_btm_108?ie=UTF8&pageNumber=108&reviewerType=all_reviews"
