web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574318489-8046","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Daniel Gravley","Good product","November 3, 2019","I really like being able to view my texts and take phone calls just from my watch when my phone isn't handy. The battery lasts me approximately 2 days before I have to charge it. The band makes my arm itch if it gets any moisture under it so I am trying to find a different band I like. It does seem to track my sleep pretty accurately and I know that because I get up a few times a night usually with our little one.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews"
"1574318520-8195","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cobra","Stuck on Samsung screen.","April 26, 2019","Well I really liked the watch but now it's stuck on Samsung screen and won't reboot.  I think a $300.00 watch should last over a year and a half.  My first cheap smart watch still works and only paid $40.00 for it.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews"
"1574318547-8311","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","GJL","great product","April 7, 2019","Bought this watch as a birthday gist for my father in law. He likes it so much. It is real watch like, with real metal body. The function is also very useful.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&pageNumber=41&reviewerType=all_reviews"
"1574318531-8238","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","sweetthing110","samsung watch","October 22, 2019","This watch is the greatest ive seen. My cousin and boss told me about it we bought it my husband loves it. Never had an issue would be again.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_34?ie=UTF8&pageNumber=34&reviewerType=all_reviews"
"1574318506-8133","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","""Trip""","Amazed","October 12, 2019","This watch is more than I expected. It's bulky and heavy like an old school watch. There are so many apps that you can add to it. So, many different faces you can switch to. And an app you can create your own watch face with a pic. Unbelievable watch. Love it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1574318466-7946","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gadget Man","Great watch with major connectivity issues","March 1, 2018","I have a love/hate relationship with my Gear S3 Frontier... A number of features on it work great such as the step and floor counters and the heart rate monitor is neat. Some of the watch faces are quite epic and both useful and fun.

On the other hand this device for some reason cannot charge in a warm room and all sorts of terrible issues with it's bluetooth connectivity.

As far as I can tell your only true hope of stopping this device from answering calls and forcing you to talk to your wrist is to put it into ""do not disturb"" mode. Even this mode often fails and causes your phone to try to connect to the watch and then try to switch back to the phone's internal speaker. I've tested this issue with 3 different android phones from 3 different manufacturers. Today I have a pixel 2 xl - same issue. BTW if you disable phone connectivity via bluetooth in your phone settings this watch won't connect to it at all.

The samsung firmware updates have been of a random quality. For instance one update multiplied the battery use by like 500% then about ten days later they released a ""fix"" that had it back to normal.

Bottom line is while I like this watch hopefully some of it's fundamental issues are solved with the S4 or some other device.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1574318551-8331","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jacob Bridger","Good for messages but not a heart rate monitor","October 24, 2019","Easy to install and configure and works great with Galaxy S8 phone. Heart rate measurement does not work while exercising. Does not calculate stairs climbed accurately.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&pageNumber=43&reviewerType=all_reviews"
"1574318484-8034","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Adam","Overpriced for what it does, not really as helpful ...","May 3, 2017","Overpriced for what it does, not really as helpful as I expected. The auto on face doesn't notice most of the time I want to know the time and lights up incesanty when I tried to wear it to bed for sleep tracking.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1574318473-7979","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","George Grimm","These are NOT the US Versions of this watch .....","May 17, 2019","Your not buying the US version. Don't expect to be running apps like Samsung Pay on this watch. Samsung looked up the serial number and it is the Latin America version.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1574318457-7910","https://www.amazon.com/Samsung-Frontier-Smartwatch-Bluetooth-SM-R760NDAAXAR/product-reviews/B01M7MDK5S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","ShoppersD","Great watch for the 21 Century","June 20, 2017","I've been using my Gear S3 Frontier a.k.a my ""Dick Tracy"" watch for the past 2 week and I must say it is a pleasure.  I've made and received calls via the watch just to have the experience of doing it; it is not the idea why to do things but it works great in a pinch.  I run the following apps on my watch: Phone, Contacts, Samsung Health, Weather, Samsung Pay, Music Player, Reminders, Alti-Barometer, Scheduler, Alarm, World clock, Gallery and of course find my phone.  I've also setup two different Calendars to send a notification to the watch too.
The phone works great but I don't want to talk into my wrist all the time, and you can move the call  you answered on your watch to your phone, which is what I did one time, it was easy. Contact, there is not much to say about that. Samsung Health is good, it tells you when you have climbed a set of stairs, as long as the stairs are more than 10 feet. It counts your steps, I'm at 4200 today and my goal is 6500, and the goal is easy to change. Heart rate monitor is fine you just need to wear the watch a little tighter than you are likely use to.  I found the heart rate to be accurate to my pulse\oxygen meter.  The weather is as accurate as accuweather is.  Samsung Pay works just like apple pay, easy to use and no problem to report. Music Player is best when your watch is paired with a Bluetooth headset.  I've not missed a meeting since the Scheduler has moved to my wrist. The Alarm, well it is an alarm and if will wake you up.  The World clock is helpful since I change time zones when I travel, now I don't wake the wife by calling when she is asleep.  The Gallery is the only one I think is kind of silly, the watch face is small for really viewing a picture.
My biggest concern was the battery life; with all these apps doing there thing and the always on watch face turned off I'm getting 4 days of use out of the watch battery.  I don't know what it would be if the watch face was always on but I'll be trying it soon.
I don't like a cluttered watch face, my current one has the time, date and battery status in percent.  I have 9 others watch faces stored on my watch so I'm ready. There are lots of free watch faces available.
I'm happy I selected the Samsung  Gear S3 watch.
By the way my first watch call was to my youngest son, whom has the same watch, I didn't know that until he told me he answered my call via his S3 watch.
I believe you will be happy with this watch.","5.0 out of 5 stars","",""
