web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1575314545-33992","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Trusted Reviewer","Exceptional Headphones","October 29, 2018","These are the absolute best headphones I have ever owned and they were most certainly worth the money. The noise cancelling is truly incredible. I am currently using this with my gaming computer and it is absolutely fantastic. Paired with my fantastic sound card, my volume hovers at around 20% and it's loud enough with the noise cancelling to block even my own voice.

The reason I didn't give this 5 stars is even though its build quality is exceptional, the sound quality is exceptional, and the battery is rated for a whopping 30 hours which is very good, I simply cannot excuse Sony's use of a puny little usb c cable. The cable is probably 6 inches long, including the usb c connector and regular usb connector! You are also not given an ac adapter! In order to get this thing charging, I had to get under my desk and hook it up to one of the usb ports in the back of my computer. After three hours, I had to go under my desk again to extract the headphones.

A few months ago I had bought another pair of Sony Bluetooth headphones for working out and they came with a 2 foot cable. I thought that was bad but it seems Sony wanted to amp up their cable shortening game. (if you're wondering why I can't use that cable because it's micro usb and these headphones use usb c) Honestly, you can't beat Sony's engineering but their bean counters or whoever authorized the use of these ridiculously short cables ruined the experience to some extent. Be prepared to get uncomfortable to charge these or fork up the extra money for a useable usb c cable. If you have an extra ac adapter lying around, you will need to use the box these headphones came in as a layer between the headphones and the ground because again, the puny 6 inch cable isn't long enough for you to rest them on a table. I couldn't even place these these on top of my tower computer because the cable wasn't long enough to reach the usb connectors. I truly do find it unacceptable I paid so much money and Sony supplied me with their shortest cable yet!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1575314866-35165","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","SW","Good quality","February 25, 2019","Fantastic headphones but they should be for the price.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_123?ie=UTF8&pageNumber=123&reviewerType=all_reviews"
"1575314998-35750","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Trey T.","Great product! Recommend!","June 20, 2019","Great product! Recommend!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_181?ie=UTF8&pageNumber=181&reviewerType=all_reviews"
"1575314884-35225","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Debbie Swartz","Excellent headphones!","July 27, 2019","I love these' they cancel noise on airplanes, easily adjustable and holds a charge for 30 hours.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_129?ie=UTF8&pageNumber=129&reviewerType=all_reviews"
"1575314936-35452","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Good buy","July 7, 2019","A little expensive but a very decent set of headphones.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_152?ie=UTF8&pageNumber=152&reviewerType=all_reviews"
"1575314811-34947","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","PSG","Noise reduction","February 24, 2019","Effectively surpresses background noise. Bluetooth is easier than I feared. Carrying case will be useful for travel. Bought a second pair for my son and daughter in law?  Pleased with my purchase","4.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_101?ie=UTF8&pageNumber=101&reviewerType=all_reviews"
"1575314645-34330","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kindle Customer","Handsome, comfortable, and truly amazing sound","December 28, 2018","These headphones are light and very comfortable on my very large head. Noise cancellation is uncannily effective and the sound quality is great although I found myself fiddling with the equalizer to boost the mid-range to fit my taste.

It's not touted as a top-line feature, but the headphones are Google Assistant compatible which allows them to do special tricks like read my notifications on my late-model Android phone. If that floats your boat it's another little nice-to-have that you might not have realized looking at the product listing.

My only complaint is the touch controls for playback. I have to double-tap the right ear-cup to pause/play. Not only is it really loud (because you are essentially playing a drum on your own ear) but the double-tap doesn't always register and I find myself doing it multiple times! Shaking my head about the war on buttons...","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&reviewerType=all_reviews"
"1575314770-34824","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Bob","Love these headphones!","August 13, 2019","I bought these as a gift for my wife. Normally she casts off her tech to me when she’s disappointed (which happens often).

She loves this Sony set and raves about them EVERY TIME she uses them. I guess I’ll have to buy my own set.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_89?ie=UTF8&pageNumber=89&reviewerType=all_reviews"
"1575315031-35901","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","J just J","That was a fast disappointment.","May 18, 2019","2nd day, right side is dead.  No cause I can detect.  Neither wired nor wireless matters.  Did the reset settings and factory reset routines...nadda.  Dead.

First.  I bought them because the sound and noise cancellation were AMAZING.  I was transfixed and amazed by the demo set.  Better than the Bose, Beats, Skull Candy...and whatever that other brand was on the display.

BUT the cons quickly won.
The onboard mic is crap.  ""You sound like you are in a tunnel"".
They are plastic and feel delicate.
The ""velvet covering"" on the cups is the kind of stuff that turns to sticky goo in a few years.
The ""fake leather"" covering seems the/is the same on my last set of Sonys that finally flaked off (took a few years - to be fair).
The volume, forward/reverse controls were tedious.  The ""cover to pause"" worked well.

AND expensive.

Glad the crappy part came through so quickly...can take back IMMEDIATELY.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_196?ie=UTF8&pageNumber=196&reviewerType=all_reviews"
"1575314923-35401","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Charlie","Hands Down!","November 19, 2018","Best headphones I've ever put my money on! These headphones are well worth the price they're being retailed for.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/product-reviews/B07G4MNFS1/ref=cm_cr_arp_d_paging_btm_146?ie=UTF8&pageNumber=146&reviewerType=all_reviews"
