web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574329436-11262","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","P. Boyd","ugh","April 3, 2015","It was not enjoyable.  I watched it to the end because I was interested in seeing how it turned out......I would not watch it again.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews"
"1574329539-11715","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Robert Simon","Five Stars","June 16, 2015","Good","5.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_56?ie=UTF8&pageNumber=56&reviewerType=all_reviews"
"1574329485-11479","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Eric C.","One Star","June 8, 2015","Not even close to a B movie","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews"
"1574329505-11567","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","anonymous","this movie is terrible.","November 21, 2014","Wow. What can I say? I am a glutton for punishment. I should've trusted the reviews, this movie is terrible.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&pageNumber=41&reviewerType=all_reviews"
"1574329505-11570","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kindle Customer","One Star","February 20, 2015","Very bad.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&pageNumber=41&reviewerType=all_reviews"
"1574329478-11445","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Lew","Pretty bad.","March 13, 2015","Didn't even finish watching it.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews"
"1574329430-11234","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Raven","So Bad & Dunb It's Hilarious","August 18, 2014","So bad and dumb it is actually hilarious LMAO, they made the poor angel Gabriel more like some dude on steroids and overdosed on moron pills. Here's a brief run down and this is totally lame, angel Gabriel comes down to earth pulls out a sword handle holds it up lightinig hits it giving him a laser beam like blade not bad, What's the first thing he does? Oh he just slices off his wings, yeah right as if angels can make their wings disappear at will and pass as humans, duh. This part had me rolling the wings were like the ones on a kids Hlloween costume held on by very visible black straps

Here's another one the dude saving his son every time he breathes heavy or pants he sounds more like a guy in a porn film breathimg heavy from the porn activities. At first I was gonna turn it off but as I watched more it cracked me up so at least it's not a total loss. Some of the characters are so stiff and and the interaction feels so plastic and forced. Some of the actors I've seen in other movies love em","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1574329502-11553","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cubbie","One Star","March 11, 2015","Horrible movie","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&pageNumber=40&reviewerType=all_reviews"
"1574329421-11192","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ernest L. Hatley","Don't waste your time!","June 10, 2015","Terrible acting! I would not even give this a ""D"" rating. In addition to the terrible acting job the movie was poorly directed and lacked enjoyable script. I am very glad it was basically free because I would be truly upset if I'd had to pay for it!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1574329516-11614","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","RD","One Star","March 19, 2015","Horrible... glad it was free","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&reviewerType=all_reviews"
"1574329498-11533","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ernest F. Garcia","... movie because the acting of the actors was really bad.","April 19, 2016","I could not continue watching this movie because the acting of the actors was really bad.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews"
"1574329418-11184","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","MountainMunky","I think doing crack might be a better use of time than watching this","May 23, 2016","I'd give it zero if that were an option. I think doing crack might be a better use of time than watching this. This is not a suggestion that crack is a good use of time... just putting how bad this movie was into clear perspective.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1574329536-11703","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jennifer L Hinkel","Five Stars","June 12, 2016","I liked it!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&pageNumber=55&reviewerType=all_reviews"
"1574329462-11379","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","traveling family","Bad acting","May 16, 2015","Such bad acting. It was not watchable. I had to shut it off.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1574329534-11700","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Brad Watson","This guy's other movies look like crap also","February 7, 2015","This guy's other movies look like crap also.  Total dbag that takes himself way to seriously.  Laughable that people are so clueless","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&pageNumber=54&reviewerType=all_reviews"
"1574329434-11260","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Randall-James: Skates","May Jesus Christ protect you from watching this film.","May 14, 2015","May Jesus Christ protect you from watching this film. This movie couldn't get worse if it had Kevin Bacon in it.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1574329455-11343","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Michele C","Started towatch but had to turn it off","February 3, 2016","Started to watch but had to turn it off.  Pretty bad.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews"
"1574329425-11212","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Eddie Martinez","Worst Movie EVER!!!!!","March 17, 2015","The worst movie EVER!
This is the kind of film that will make you throw your television out the window. The writing was bad and the sound score was lousy.The acting was laughable, everyone had the Batman raspy voice.  Perhaps the makers of this film should consider a career in aluminum siding because film makers they are not.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1574329439-11278","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Bryan O.","A steaming pile of poo","July 26, 2016","Didn't finish this steaming pile of poo","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1574329425-11215","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","cdb336","The love a good B movie with all its predictability and ...","April 23, 2016","If I could have given this a zero, I would have and that would have been too generous.  The love a good B movie with all its predictability and cheesiness but this was one of the worst I've ever seen.  I couldn't even finish it. I felt embarrassed for the actors.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1574329480-11453","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mike Forte","One Star","November 16, 2015","Whack","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews"
"1574329493-11516","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Arkins Mwila Kabungo","One Star","April 29, 2015","start wells but looks a stage drama play","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1574329473-11427","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Felipe Flores","Terrible","August 8, 2015","Low budget,  would give it a negative star if I could.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&reviewerType=all_reviews"
"1574329491-11508","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Diana","One Star","July 14, 2015","Poor, bad acting!!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&pageNumber=35&reviewerType=all_reviews"
"1574329550-11766","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Deborah Gilmore","I like some bad sci fi/horror as they are campy but ...","December 28, 2014","I just kept wondering where they found these ""actors' and the script was so convoluted I could not even watch it.  I like some bad sci fi/horror as they are campy but this was just bad.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_61?ie=UTF8&pageNumber=61&reviewerType=all_reviews"
"1574329524-11652","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","R. Travis","One Star","August 22, 2015","Horrible, just horrible.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_50?ie=UTF8&pageNumber=50&reviewerType=all_reviews"
"1574329516-11615","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cara Jones","One Star","October 29, 2014","Absolutely the worst acting, theory, sound, everything. The WORST!!!","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_46?ie=UTF8&pageNumber=46&reviewerType=all_reviews"
"1574329502-11554","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","lashandra henderson","One Star","December 2, 2015","No good.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Becoming-2015-Geovanni-Molina/product-reviews/B00M5KODWO/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&pageNumber=40&reviewerType=all_reviews"
