web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574319023-8393","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Russell B Sprague","Do Not Buy This Product","December 8, 2018","I purchased and installed this device, set up the software and let it run. I thought that all was well. Then, I decided to look at my files on the drive just to make sure that things were operating as planned.

Big surprise!!! The files were formatted with a .bkup extension; not a jpeg or an mp3 anywhere. In addition the many hundred folders were suddenly about fifty files with unknowable files names of about 20, or so, letters and numbers.

I researched to find a way to open these files, hoping that I could salvage my purchase. The only answer I was able to find was fvp.exe, at a cost of $40.

So, are my files backed up? Technically, yes. Can I retrieve and use those files if my computer has a problem? No f_____ way. The Amazon presentation of this product was incomplete and mis-leading. Shame on them.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1574319156-8978","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","TJTomato","Could not get it to work from the start","July 31, 2019","Downloaded software several times and spent hours trying to get it to work without success!  Returned and very frustrated.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_61?ie=UTF8&pageNumber=61&reviewerType=all_reviews"
"1574319055-8532","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Daniel Herring","Excellent","June 23, 2019","This item works perfect!! I transferred approx. 200GB of data and it took about an hour to write all the files to the hard drive. This drive is very fast, especially with the USB 3.0. I am so happy that I bought this item. I used a $20 256gb flash drive before using this item and it produced corrupted files and error messages. However, with this hard drive I experienced no problems at all. I highly recommend this item if you are looking for an external hard drive.

Note: The toshiba backup software sucks so I just used copy and paste.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1574319070-8602","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Phillip J. Klein","Turns a laptop into a giant.","November 30, 2015","I bought a laptop computer that only came with a 90 GB drive.  By the time you load the operating system and a bunch of applications, the available disk space becomes pretty sparse.  I now use this for all my music and photo files.  The device gets its power from the laptop over the USB cable and the speed is amazingly fast.  If I want, I can connect this drive to my desktop PC when I want to edit photos on a big screen.
After using this, I hardly ever think about using USB memory sticks.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1574319140-8914","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","A. Garrison","Good drive. Excellent value for the price!","September 24, 2015","I've purchased several of these, and I haven't had a single problem with any of them. I like the USB 3.0 connection, particularly for transferring large files. My only complaint, and this is VERY minor, is that the top of the drive is slightly convex, so you can't stack them on top of each other. It really doesn't even affect me, because I line up all my drives vertically on edge using small notecard/mail sorters to hold them.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&pageNumber=54&reviewerType=all_reviews"
"1574319133-8884","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","securetransint","NOT compatible with High Sierra Operating System","November 16, 2017","If you have updated to High Sierra for the macOS DON'T BUY.
It will not mount and is only compatible with Sierra and all other operating systems prior.
Does not say that on the description.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_51?ie=UTF8&pageNumber=51&reviewerType=all_reviews"
"1574319118-8813","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","newbie","Great price, great product","September 2, 2019","Easy to use and set up you can partition the drive.  Very portable and small considering the capacity-- nice way to back up important files in case you have to crash your computer or it is crashed for you.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&pageNumber=44&reviewerType=all_reviews"
"1574319138-8905","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jennie","great item","August 23, 2019","Saved a lot of space for my computer, as a graphic designer, I need something like this to save my images and designing.
great price and good quality.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_53?ie=UTF8&pageNumber=53&reviewerType=all_reviews"
"1574319100-8735","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","macreato","THE BEST","January 20, 2016","This is the BEST external hard drive that I have ever used.  After discovering this small hd I dont see a need for thumb drives, seriously.  I have them all over the house, yet I could have simply used this ONE.  It is already partitioned into categories which makes it so easy to to store info on AND  to retrieve.  Small, user friendly, affordable.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1574319042-8473","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jean Sebastian","Works for xbox and ps","December 13, 2018","La calidad del disco duro es muy buena. Compré 2 de estos para mi consola xbox one y play station 4. Funcionan perfectamente y son muy fáciles de instalar. Lo malo es que como tal el disco duro no tiene una base donde sostenerse, o por así decirlo, soportes de mesa en las esquinas para que no se raye el producto.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1574319055-8528","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Stacie in Seattle","crashes fro no reason","March 2, 2019","Ive done exactly one back up on this drive and saved some videos. 45 days later went to save some more files on it and got a pop up saying drive was defective and needed to be reformatted and lost all the stuff I just saved to it. waste of money","1.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1574319037-8447","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Salena","Disappointing.","April 18, 2019","I bought this (in red) towards the end on January for some classes that required us to download large files. I read the 1 star reviews and hoped that I wouldn't be one of the unlucky ones.  With my luck, the hard drive decided to die mid-April on a morning  consisting of 2 exams... along with all of my notes. What is the point of purchasing something than can't even last a semester? Why should we have to be paranoid about losing our data? Getting a better product for a few more bucks is better than the frustration of dealing with a waste of 50 dollars.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews"
"1574319035-8436","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Mr. James","Nice protection at a fair price.","March 2, 2018","I am very satisfied with this Toshiba portable hard drive.  Bought it for the sole purpose of backing up my Samsung 1TB computer.  Plugged it in via USB and all the installation instructions were easy to followed on my computer.  I bought the 3 TB at a nice price, with no hitches with the backup process and now feel a bit of comfort knowing that my files are safer.  This drive works with both 2.0 and 3.0 USB ports, obviously will download faster if you use a 3.0 hub.  My computer is 5 years old and I thought my USB ports were probably all 2.0 but turns out, I had one 3.0 USB so always good to check.  One tip is that 3.0 USB ports are blue in the female inside part of your computer.  So if you are not sure, check it out.  It does come with the necessary USB cable, 21 inches in length and a very limited instruction pamphlet.  The unit itself is very sleek looking, polished black that will show fingerprint smudges but small enough to wipe clean fairly easily.  Dimensions of the drive are 3"" x 4"" length and width and the thickness of the unit is 3/4 inches in depth, so a bit larger that a deck of paying cards.

This is an HDD (Hard Disk Drive) so I guess another decision for shoppers will be in deciding between either a Solid State Drive (SSD) or Hard Disk Drive (HDD).  If processing and overall speed of the external unit is key or if you are into gaming or audio or video production, you may want to consider the more efficient, faster and more expensive SSD Drives (solid state) that are out there.  Just saying that there are faster drives on the market but you will pay for it.  For my purposes, this Toshiba HDD is exactly what I needed at a reasonable price.

When powered up and on, there is a small, round blue Led light located on the front upper front of the unit.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1574319091-8688","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Paul R. Jackel","Don't buy this piece of junk!","April 6, 2019","I bought this Toshiba Canvio Advance 2TB Portable External Hard Drive USB 3.0 in December , 2018 to back up the hard drive on my home computer. Within four months it broke down and was no longer functioning. Not much I can do at this point except to warn others to not make the same mistake I did and purchase this piece of junk. I won't be buying any Toshiba products from now on.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Toshiba-Advance-Portable-External-HDTC920XR3AA/product-reviews/B079HD84R6/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&pageNumber=32&reviewerType=all_reviews"
