web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1575036215-20662","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nick Russell","Wiitastic","October 8, 2009","The Wii is a wonderful system that has gotten my wife (Who is deeply obverse to Video games) to sit down with me and have some fun.  The system is not for hardcore gamers, who can spout poly-count statistics in their sleep. The Graphics are nowhere near the capabilities of the Xbox 360 (Which I own, and enjoy immensely) that being said graphics are far from everything. The game play and ability to pull non gamers into the mix makes the Wii well worth the purchase price. If you are a Gamer I would recommend the Wii as a secondary system that you pull out when friends or family want to enjoy some time together.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews"
"1575036619-22602","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Daniel","Nice System","July 27, 2014","This was purchased as a gift for my little sister and she enjoys it.

I've played on it a few times and while I'm not sure if I'll get used to the controller system ever, it does have a nice look and navigation set up in general. Also, some of the games are really great.

Personally, I'm just more of an Xbox person.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_219?ie=UTF8&pageNumber=219&reviewerType=all_reviews"
"1575036464-21874","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gale Clark","Wii","December 27, 2007","Prompt delivery. Arrived in wonderful condition.  Have had a total blast with the whole family joining in on the games that are included with the purchase!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_146?ie=UTF8&pageNumber=146&reviewerType=all_reviews"
"1575036581-22430","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ordinary Joe","Awesome (speechless)","November 22, 2006","Before I start the review, I do own an HDTV and I do have the component cables on order for Nintendo.

Graphics-They are much better than a lot of people give them credit before. They are not just right above the Gamecube or PS2, but just under that of the 360 and PS3. This is with the Standard Def cables on an HDTV.

Gameplay-The controller at first glance when I read about the system threw me as something that could be difficult and frustrating. After hooking it up and using them, I wonder how I ever managed without them. Easy to use and get a handle on, nothing complicated. You become a part of the game, finally. This controller makes the Wii a true NEXTGEN console.

Net connection-TBD (As Nintendo is currently working on these features, the 'Live' connection has a lot of potential to be just as good as XBOX Live and compete with the PS3 connection.) We'll see what Nintendo does with this feature over the up and coming year.

Price-No it doesn't have blueray, 1080p, or a compatiable HD drive, but it does have great gameplay, graphics that can compete with the 360/PS3 if need be, all for a fraction of the 360 and PS3. A true must buy, Nintendo has offically won me back after all these years away.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_202?ie=UTF8&pageNumber=202&reviewerType=all_reviews"
"1575036156-20420","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","jaqnel","Very happy!","May 2, 2017","The wii came with all cords, sensor bar and 1 remote, as advertized. I have only been using the wii for one week and it works well. I am very pleased with my purchase, the prompt secure packaging and the quick delivery. Thank you!","5.0 out of 5 stars","",""
"1575036180-20539","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Judy Bodmer","Arrived in good condition and with all the parts as advertised","June 21, 2018","Arrived in good condition and with all the parts as advertised. It took as a little while to get the controller to connect, but once we took care of that, device worked as advertised.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1575036628-22639","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kita E. Champion","I love it","December 25, 2006","Look I'm an ex- everquest player, and I hadn't touched a regular video game since the 1st Sega Genenis came out and the arcades went out.  I ordered the Wii for a family present and the people playing it today range in age from 4 to 57  (4, 18, 19, 28, 35, and 57 actually played and loved it) and we all love it so far.  I got several of the games but the wii sports alone that came with it is just really fun.  I have no time to look up game codes and cheats and learn 102 game control combinations to win something but I can have fun with the wii simply because I can use a remote control.  It's just tight :-)","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_223?ie=UTF8&pageNumber=223&reviewerType=all_reviews"
"1575036583-22440","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","D. Penland","Wiiness","July 24, 2008","Let me start off by saying that trying to get one of this things wasn't very easy. i looked for about 3 weeks for onr and I looked everywhere. I didn't realize how high this things were in demand.

Anyways I was amazed at how small and compact the system was. Its very sleek and pure white giving it the modern look. The only problem I had at first was the sensor bar. But that was because my living room is kind of small and I needed to stand further back. Moved a little and it was fine.

 Now it comes with wiisports which is one of the funest games for the wii. Which is cool and sad at the same time. There arn't many great games for the wii. The ones that are fun are cartoony and childish. And there isn't any news of any good titles coming out soon. But the saving grace would have to be super smash bros. Its very fun and you can have 3 of yours friends playing with you. Oh, and you can play with the gamecube controlers if you please.

So I would recommend the wii to families, children, or as a sweet little party machine. But for the adults or more serious gamers i would go for the 360 as it has the best selection of games out of all the systems( just make sure to get extended warrenty as I'm on xbox #4 and havn't even owned as a xbox for barely a year).","4.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_203?ie=UTF8&pageNumber=203&reviewerType=all_reviews"
"1575036204-20615","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Wii love our Wii","August 23, 2014","We love our Wii! With all the family friendly games, easy controls and versatility, its a must have.  The only reason I don't have five stars is because this is our THIRD console in 8 years. The hard drives are not very sturdy. However, for the price of a gently used or refurbished unit, it's well worth paying for to have a family gaming system.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews"
"1575036668-22836","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Bonnie","Wii is GREAT!","November 28, 2006","I purchased this a week ago.  I have owned many game systems and I love this one.  It is fun for everyone.  I like that fact that you can play the older games also.  Even my 3 year old grandson can play this. (he bowled a strike).  I do not think we will grow tired of this system.  I am anxious for more items available on the menu and shopping.

One word of advice, if you can purchase this, get an extra remote while they're in the stores.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wii-Nintendo/product-reviews/B0009VXBAQ/ref=cm_cr_arp_d_paging_btm_243?ie=UTF8&pageNumber=243&reviewerType=all_reviews"
