web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574954574-15146","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","swilliams","Tough to use","July 8, 2019","Slipped out of every pair of shoes I own (sneakers and workboots)
Couldn't get my feet out of the ground at times - took an incredible amount of force to lift my feet... that is if I could keep my foot in my shoe.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1574954574-15153","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","JT","Not worth it","October 25, 2019","Came already assembled which I was happy about so why the 1 star?. Even tightening the straps around my sneakers and work boots the aerator shoes kept coming off and wouldn't stay on no matter how tight I tighten the start. I ended up just throwing them in the garbage after an hour of trying.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1574954576-15163","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Bailey","Wearing the correct type of shoes helps.","April 11, 2019","Used to aerate my lawn.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1574954569-15131","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","E Whitt","Hard to Keep On","April 15, 2019","I like the idea of being able to aerate my own lawn rather than paying to have it done or renting a large aerater.  The sandals took a little wile to put together, maybe 10-15 minutes and are relatively self-explanatory.  I did have some difficulty understanding which side to face the buckle and I'm still working those kinks out.

The most difficult part is keeping the sandal on your foot while walking.  I wasn't able to lift my foot up without the sandal falling off.  I'm going to try it again and tighten the straps as much as I possibly can.  I read that wearing boots keeps the sandals on better. Here in Central Texas it gets too hot to mow the yard in boots!

Hopefully I can find a way to make these work for me.","3.0 out of 5 stars","",""
"1574954576-15156","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Carlo","Straps","June 18, 2019","The straps were not holding up. The aerator keeps on getting stuck in the mud.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1574954574-15147","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Adam Gross","nice","March 20, 2019","does what its supposed to. good quality, fair price....","4.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1574954574-15148","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Jeg","Incorrect Description","September 15, 2019","Description says it is pre-assembled and charged little extra but it came un-assembled. Size is little bigger than described.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1574954569-15133","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kamal makki","Does the Job without paying for Aeration Services","April 8, 2019","EDIT:  first use of these was on a small area for testing, now that I had a chance to try and do my whole lawn, these things do not stay on your shoe when put on and came off twice while I was trying to use them no matter how tight I secured them, not recommended at all.

Aeration of lawns is recommended for a healthier grass.  The shoes are simple to put on, These shoes are solid with 3 straps so that they stay on while you walk.  They State that these  are a one size fits all but look like they will not fit anyone over  a size 11.5 as these are 11.8 inches long.  The best way to use these is to wear them while mowing the lawn.  The spikes are solid and sturdy and the package includes 5 extra spikes and a small wrench of attaching them.  The packaging is a bit loose and as one reviewer stated, there were some loose screws that had fallen out of the bag and were bouncing around in the box.","2.0 out of 5 stars","",""
"1574954574-15152","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Irina","Great Product","April 16, 2019","Great product, got the job done. Definitely took some work to walk with these on, so get ready for a work out.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1574954574-15149","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","g Michael","won't stay on shoes.","September 27, 2019","I was hoping to aireate my lawn, these would not stay on my boots or shoes, What a disappointment .","1.0 out of 5 stars","Next page→","https://www.amazon.com/Wistar-Aerator-Shoes-Buckles-Straps/product-reviews/B07H31J389/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
