web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574951274-11527","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","AF Williams","Worked well","July 24, 2019","These worked well for us on a recent trip.  We were in and out of the pool and ocean.  We never had an issue with getting water inside the pouch.  The only issue we had was with using the phone camera while in the pouch and while it was wet.  The outside would have water droplets on it and they would cause a photo to be blurry or show the drops.  This is understandable. I only mention it so you would think ahead if you use them.  We did find that one of the knobs came out of the holder.  This is part of what keeps the pouch closed.  We were concerned it would make it NOT waterproof any longer but that is NOT the result.  The pouch still worked fine.  I think these are a great solution for being around water and wanting to protect your phone or any small valuables.  The price is fair.  We have used them several times and they are still working well.","4.0 out of 5 stars","",""
"1574951287-11556","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kindle Customer","Just Ok","August 7, 2018","Good enough for the the price but pieces keep going coming off.","3.0 out of 5 stars","Next page→","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1574951291-11566","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Keke","Review","September 5, 2018","They work fine","4.0 out of 5 stars","Next page→","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1574951274-11530","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","PhilGMAIL","Water, we don't worry about water anymore","November 24, 2019","There are now literally dozens of waterproof protection products available.  When you find that surpasses the others,  I have to let others know.  Easy to install on ths phone and just as easy to remove.  Performs as described.","5.0 out of 5 stars","",""
"1574951274-11526","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","CMSA","Does more than just keep phones dry!","June 1, 2018","I bought this set for my wife and I to take hiking.  We have been several times and it always seems to rain on us and we like to take pictures in Rocky Mountain National Park.  They did their job of keeping the phones dry but I also found a couple added bonuses.  First, having the lanyard on the case makes the phones easier to carry.  Instead of digging the phone out of my jacket or pocket, I hooked it up with a carabiner to my backpack strap and then tucked it in.  It was always right there, easily accessible.  Second, I found that the quality of pictures taken while the phone was in the case is just as good as the pictures taken after taking the phone out.  The cases actually made it easier to take more pictures without losing quality or exposing the phones to the elements.","5.0 out of 5 stars","",""
"1574951291-11570","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cannohol000","Fits up to iphone 6s plus!","July 4, 2017","Actually waterproof! needed this case for the wisconsin dells for me and my roommate! It works great!","5.0 out of 5 stars","Next page→","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1574951299-11588","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Elizabeth Smith","The most nessary thing you don’t realize is nessasary until you have it! Kept sand out of my phone and even dropped it in water","June 23, 2018","These were fantastic!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1574951274-11531","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","RitaMae Morin","Terrible product","September 30, 2018","Complete waste. Can’t fit a plus phone, unless it’s out of the case. Good luck being able to answer any calls through the barrier. The clips fall out and I would never stick my phone on water with these, they couldn’t even keep the dust out","1.0 out of 5 stars","",""
"1574951295-11582","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Donna","Very cheap. Ripped first time put phone in.","July 9, 2018","Very cheap.  Ripped first time put phone in.","1.0 out of 5 stars","Next page→","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1574951278-11544","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ahow","Works great","October 9, 2018","Used these on the beach and even on a banana boat in the ocean. Worked excellent!","5.0 out of 5 stars","Next page→","https://www.amazon.com/WJZXTEK-Universal-Waterproof-Luminous-Compatible/product-reviews/B06WWKZ6W1/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
