web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574977357-18278","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","DrDLVS","Worst controller ever","November 2, 2017","Does not work at all. Itll just freeze and not work for like 10 minutes. This controller sucks. The controller will be on but not be able to do anything. I wish I could get my money back.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_108?ie=UTF8&pageNumber=108&reviewerType=all_reviews"
"1574977443-18706","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nick K","Broken button","September 3, 2017","Came with a broken ""B"" button right out of the box. Very disappointed mincrosoft.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_151?ie=UTF8&pageNumber=151&reviewerType=all_reviews"
"1574977411-18555","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Xemoh","Five Stars","January 10, 2018","I love it... in perfect working condition. so far I have no issues using this controller","5.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_135?ie=UTF8&pageNumber=135&reviewerType=all_reviews"
"1574977145-17269","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","GTRNate","Xbox One/Microsoft should bee ashamed of themselves","March 10, 2018","Xbox One/Microsoft should be ashamed of themselves.  You will need to replace controllers every 6-12 Months with moderate use.  I am so sick of having to replace these things so frequently.  Playstation 4 controllers last much longer than this.  Get it together Microsoft.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1574977455-18775","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Brian Little","Working well","April 20, 2017","Has worked well.  I wish these were rechargeable easier, but oh well.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_157?ie=UTF8&pageNumber=157&reviewerType=all_reviews"
"1574977293-17984","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kris VonG","Defective","October 24, 2018","I was so excited when it came but when I went to power it on it didn't I tried different batteries and even the charging cable that came with the original controller for my Xbox. Don't waste your money","1.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_78?ie=UTF8&pageNumber=78&reviewerType=all_reviews"
"1574977417-18576","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","ben","Buy new","May 8, 2019","Really worn down. Don’t buy used","2.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_138?ie=UTF8&pageNumber=138&reviewerType=all_reviews"
"1574977213-17594","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Probably the best controller I've ever used","February 22, 2017","Probably the best controller I've ever used, the texture is pleasant to the touch and the buttons are satisfyingly clickity-clackity. Never have I felt so in control of a game. The only real gripe I have is that I have to go to walgreens to get double A batteries like I'm some old grandpa. Would've been more useful with built-in rechargeable batteries, but it does bring me back to the old days of begging mommers to get the AA's for my gameboy. Good product.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&reviewerType=all_reviews"
"1574977465-18824","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Sunny D","Basically NEW, not USED.","February 26, 2018","$29.99 for a practically new controller. Can not beat that deal.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_162?ie=UTF8&pageNumber=162&reviewerType=all_reviews"
"1574977509-19019","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Blake Lyons","It was basically broken","November 4, 2019","I got it and it was basically not useable the buttons were jammed and sticks were out of place I think the truck must have thrown that thing around","1.0 out of 5 stars","Next page→","https://www.amazon.com/Xbox-Wireless-Controller-Black-one/product-reviews/B01LPZM7VI/ref=cm_cr_arp_d_paging_btm_182?ie=UTF8&pageNumber=182&reviewerType=all_reviews"
